"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0034329","cell junction assembly",0.0444019545357977,0.0166487833581392,1.05932195840475e-45,4.33858008342456e-42,1.91218281501486e-42,"Cdh11/Chd4/Ptprs/Cldn22/Asic2/Ptpra/Ptk2b/Cdh2/Ppp1r9a/Lrrc4/Fbxo45/Gnpat/Efnb1/Crkl/Dlg5/Clstn2/Ube2v2/Dapk3/Lrrc24/Numbl/Actg1/Vmp1/Magi2/Tesk2/Sema4d/Tsc1/Gabrb3/Efnb3/Limch1/Poldip2/Numb/Myh9/Plxnb1/Arhgef9/Ache/Shank2/Jam3/Gsk3b/Ocln/Elavl2/Arvcf/Dbnl/Plec/Plxnb2/Mecp2/Ephb3/Cdh19/Nlgn3/Gap43/Bcr/Pten/Ctnnb1/Fkrp/Dst/Sorbs1/Dusp3/Rab13/Plxnd1/Dock7/Ctnnd1/Thsd1/Pdcd6ip/Itgb4/Hipk1/Wdpcp/Dnm3/Gabra1/Lrrtm1/Coro1c/Myo9a/Ppm1f/Epb41l5/Nlgn1/Lrfn3/Abl1/Itgav/Ntrk2/Farp1/Ptprj/Taok2/Prkaca/Adgrl3/Lrrn1/Pik3r1/Rapgef2/Cgn/Ctnna1/Lrp1/Lamc1/Arf6/Slit2/Map4k4/Tbcd/Slitrk1/Pdlim5/Peak1/Pdpk1/Bsn/Setd5/Jup/Cttn/Large1/Mapt/Pak2/Nrxn3/Adgre5/Prkca/Slitrk4/Cd9/Nrg3/Lhfpl4/Ptpn11/Add2/Bcl2/Epha3/Flrt1/Slc39a9/Pclo/Itgb1/Nrxn2/Rhoc/App/Mmp14/Cldn11/Actn4/Ephb1/Slitrk5/Nlgn2/Mdga2/Cldn5/Syndig1/Ptprd/Tjp1/Smad7/Cav1/St8sia2/Nectin1/Hapln4/Zdhhc12/Apod/Reln/Pdgfb/Clstn3/Srgap2/Eef2k/Myo6/Clstn1/Lrfn1/Efnb2/Wnt5a/Tln1/Lzts1/Zfp703/Icam5/Pcdhb16/Ugt8a/Lama3/Erbb4/Pcdh17/Slk/Cux2/Ston1/Grem1/Lingo2/Myo1c/Adgrl2/Iqgap1/Eif4g1/Fmn1/Dlc1/Flrt2/Phldb2/Robo1/Capza1/Lgi2/Actn2/Cdh4/Vstm5/Chrnb2/Gjb2/Cdh22/Esam/Amigo2/Cdh13/Ntn1/Rab29/Arhgef15/Acvrl1/Wnt4/Cdh18/Cntnap2/Efna5/Kdr/Lsr/Pecam1/Nptxr/Tek/Myoc/Cdh5/Fn1/Sdk2/Tns1/F11r/Adnp/Enpp2/Trpv4/Cldn1/Ace/Cldn2",209,"Up","Oil - OPFR"
"GO:0001667","ameboidal-type cell migration",0.0437646059060973,0.0163026548059949,1.35011049740923e-45,4.33858008342456e-42,1.91218281501486e-42,"Mcc/Sox8/Ptk2b/Bcas3/Cdh2/Pak3/Hdac5/Sema6c/Stard13/Smo/Nr4a1/Efnb1/Hyal2/Nr2e1/Gna13/Igf1/Gpi1/Ceacam1/Nf1/Hbegf/Pik3c2a/Emp2/Bmp4/Pik3cd/Pdcd6/Pafah1b1/Anxa6/Irs1/Ednra/Sema6b/Zeb2/Sema4d/Prkd2/Acvr1b/Plekhg5/Adgra2/Adipor1/Cd63/Bcar1/Gpld1/Myh9/Scarb1/Pkn1/Prkce/Akt3/Atp5f1a/P2rx4/Smad4/Plec/Daam2/Mecp2/Pten/Map2k5/Itga4/Sgpl1/Map3k3/Epb41l4b/Rab13/Atp5f1b/Plxnd1/Bmpr2/Egr3/Lemd3/Tns3/Itgb4/Pak1/Wdpcp/Mapre2/Ppard/Nanos1/Dnaja4/Itga3/Coro1c/Ppm1f/Vash1/Epb41l5/Hif1a/Fndc3b/Lgmn/Abl1/Dab2ip/Itgav/Apc/Prr5l/Crb2/Dusp10/Pax6/Phactr4/Sox9/Pik3r3/Lrp6/Ccbe1/Arf6/Slit2/Adam9/Map4k4/Sox10/Irs2/Amot/Sash1/Pdpk1/Jup/Cxcl12/Tac1/Lgals8/Sema7a/Tgfbr3/Tgfb2/Prkca/Hspb1/Atp2b4/Ptpn11/Slc8a1/Ptgs2/Sema3e/Adam17/Efna1/Itgb1/Fstl1/Actn4/Grn/Arsb/Rtn4/Sema6a/Anln/Adipor2/Lama5/Iqsec1/2610005L07Rik/Mtor/P2ry12/Fgf10/Rhoj/Hdac9/Pdgfb/Sema3d/Dock1/Arhgap5/Ptprr/Efnb2/Wnt5a/Atoh8/Megf8/Bsg/Erbb4/Amotl1/Cyp1b1/Kitl/Gab2/Hyal1/Tgfbr1/Grem1/Amotl2/Iqgap1/Dock5/Nrp2/Spag6l/Ets1/Nos3/Kank2/Robo1/Serpinf1/Syde1/Arhgdib/Nr2f2/Tgfb1/Ptprm/Jcad/Ccn3/Wasf2/Ephb4/Lrp5/Kit/Cdh13/Akap12/Sox17/Acvrl1/Arid5b/Ago2/Pdlim1/Ctsh/Itgb2/Sp100/Gata2/Ddr2/Kdr/Stc1/Pecam1/Acta2/Klf4/Tgfbr2/Tek/Cdh5/Fn1/Edn3/Robo4/Tns1/Col18a1/Bmp7/Anxa3/Enpp2/Sema3b/Dcn/Igf2/Aqp1/Folr1",206,"Up","Oil - OPFR"
"GO:0050767","regulation of neurogenesis",0.0424899086466964,0.0170987504759268,2.4815824442143e-38,3.98728259224132e-35,1.7573521993107e-35,"Sox8/Anapc2/Ptprs/Egr2/Rnf6/Ptpra/Psen1/Pak3/Sema6c/Cers2/Smo/Prpf19/Spart/Nr2e1/Camk2b/Igf1/Trak2/Ulk2/Ist1/Hey2/Nf1/Hapln1/Nf2/Actr2/Rnf10/Mapk8/Numbl/Dip2b/Bmp4/Nefl/Pafah1b1/Sema6b/Zeb2/Sema4d/Vcan/Vim/Efnb3/Wls/Numb/Ezh2/Map1b/L1cam/Limk1/Zcchc24/Plxnb1/Ache/Aspa/Prkci/Map6/Golga4/Wnt2/Gsk3b/Epha4/Nos1/Dbnl/Hey1/Per2/Xrcc2/Daam2/Plxnb2/Mecp2/Nr1d1/Snap91/Map2/Cx3cl1/Pten/Ctnnb1/Map2k1/Trak1/Islr2/Dixdc1/Cdon/Ncan/Plxnd1/Dock7/Bmpr2/Smurf1/Pak1/Eif4g2/Skil/Hif1a/Fezf2/Kalrn/Ntrk2/Bhlhe40/Gorasp1/Rapgef2/Dusp10/Pax6/Ctnna1/Caprin1/Lrp1/Slit2/Opa1/Slitrk1/Sox10/Mfn2/Lingo1/Cxcl12/Mapt/Grm5/Brinp1/Xrcc6/Sema7a/Cul7/Prtg/Dlx2/Myrf/Sema3e/Tnik/Sorl1/Acan/Spen/Itgb1/Trp73/Trf/Rtn4/Plxna2/Plxna1/Sema6a/Kdm4a/Plxnc1/E2f1/Slit1/Hes5/Gjc2/Robo2/Il34/Wnt3/Ptprd/Ctdsp1/Slc7a5/Mtor/Grip1/Notch2/Arhgap32/Synj1/Hapln2/Hapln4/Atf5/Reln/Myo5b/Sema3d/Eef2k/Cit/Yap1/Wnt5a/Etv5/Megf8/Ldlr/Mag/Zfp488/Tenm4/Kifap3/Dscam/Dlx1/Id1/Cux2/Jade2/D130043K22Rik/Il6st/B2m/Dag1/Tmem98/Dll1/Map3k13/Nkx6-2/Robo1/Rgs14/Serpinf1/Cdh4/Fstl4/Nkx2-2/Cd24a/Trem2/Ptprf/Tgfb1/Mme/Cx3cr1/Kit/Lig4/Ntn1/Tnr/Csf1r/Gata2/Efna5/Kdr/Lef1/Flt1/Anxa2/Fn1/Fzd4/Cdkl5/Bmp7/Tgm2/Adnp/Enpp2/Sema3b/Ccr5/Ace",200,"Up","Oil - OPFR"
"GO:0031346","positive regulation of cell projection organization",0.0401529636711281,0.0160257519642795,7.34488618431484e-37,9.4411167013183e-34,4.16107130989289e-34,"Ptbp1/Anapc2/Dnm2/Ptk2b/Rala/Ppp1r9a/Zdhhc15/Pak3/P3h1/Camk2b/Dcc/Ube2v2/Rrn3/Ist1/Cbfa2t2/Nf1/Actr2/Shoc2/Rhoq/Atmin/Numbl/Bmp4/Nefl/Magi2/Pafah1b1/Ripor2/Ppp2r5b/Zeb2/Sema4d/Fkbp1b/Cnr1/Wls/Ccp110/Numb/Ezh2/Cdc42ep4/Map1b/L1cam/Lrrc7/Limk1/Pacsin1/Plxnb1/Ror1/Ache/Cntn1/Elavl4/Arap1/Enc1/Nme2/Tenm3/Prkci/Ndrg4/Map6/Golga4/Cdc42ep2/Rit2/Gsk3b/Epha4/Dbnl/Cep120/Plxnb2/Snap91/Cx3cl1/Mark4/Map2k1/Kat2b/Trak1/Islr2/Dixdc1/Arhgap35/Ap2a1/Plxnd1/Bmpr2/Tgfb3/Wasl/Smurf1/Kidins220/Igf1r/Zfp804a/Pak1/Eif4g2/Skil/Dnm3/Itga3/Coro1c/Nlgn1/Abl1/Kalrn/Dab2ip/Ntrk2/Apc/Cdc42ep1/Atp7a/Pik3r1/Camk1d/Mien1/Rapgef2/Caprin1/Lrp6/Lrp1/Apbb1/Hdac4/Opa1/Slitrk1/Ddr1/Scarb2/Mfn2/Camk1/Cxcl12/Dock11/Mapt/Sema7a/Cul7/Dpysl3/Hspb1/Epha3/Tnik/Serpini1/Ttbk2/Adam17/Itgb1/Washc5/Grn/Arsb/Abl2/Plxna2/Plxna1/Anln/Espn/Plxnc1/Septin9/Robo2/Wnt3/Ptprd/Adamts1/Def8/Mtor/Grip1/P2ry12/Stk24/Arhgap32/Htt/Reln/Myo5b/Eef2k/Ift88/Wnt5a/Itpr1/Megf8/Dscam/Efemp1/Fnbp1l/Cux2/Cflar/Prkcq/Tgfbr1/Ptpn5/Iqgap1/Plce1/Map3k13/Robo1/Serpinf1/Cdh4/Cd24a/Cobl/Ptprf/Ptk7/Wasf2/Tenm1/P2rx7/Kit/Atp8a2/Scarf1/Ntn1/Nedd9/Eps8l2/Ddr2/Efna5/Eps8l1/Htr7/Tox/Trim67/Fn1/Fzd4/Cdkl5/Bmp7/Adnp/Enpp2/Aqp1",189,"Up","Oil - OPFR"
"GO:0007264","small GTPase mediated signal transduction",0.0399405141278946,0.0148143020317746,5.12241826856639e-42,1.09739274040254e-38,4.83664124937268e-39,"Rabif/Ralgapa1/Rab15/Sh2d3c/Dnm2/Rala/Cdh2/Iqsec3/Nfix/Arrb1/Cdc42bpa/Stard13/Arfgap1/Iqsec2/Itsn1/Gna13/Igf1/Nf1/Shoc2/Rhoq/Rsu1/Sipa1/Arhgef18/Chm/Cdc42se2/Stmn1/Sipa1l3/Ripor2/Cd2ap/Ednra/Rapgef6/Ctnnal1/Tnfaip1/Rnd1/Kpnb1/Arhgap1/Rap2c/Cdc42ep4/Dennd1a/Plekhg5/Arhgef9/Arhgef11/Rasgrf2/Lztr1/Dock10/Dok4/Cdc42ep2/Rit2/Stmn3/Camk2d/Dbnl/Arhgef12/Usp8/Ccdc88c/Rnd3/Nras/Ralgapb/Ralb/Bcr/Map2k1/Sos1/Ksr1/Adcyap1r1/Bnip2/Arfgef2/Rapgef3/Arhgap35/Cdon/Plaat1/Arhgap12/Dock7/Tns3/Dock9/Rhobtb2/Arhgap44/Arhgef3/Cul3/Rhog/Rap1gap2/Psd3/Mapre2/Itga3/Rhou/Rabl3/Rab39b/Abl1/Dab2ip/Itgav/Cdc42ep1/Arhgap42/Farp2/Arhgef28/Rapgef2/Kndc1/Phactr4/Dnaja3/Cadm4/Nucb1/Arf6/Slit2/Map4k4/Arl6/Dennd4c/Dhcr24/Vav2/Amot/Uso1/Nup62/Mfn2/Dock6/Rap2b/G3bp2/Dennd4a/Arhgap24/Dock11/Tgfb2/Rasgrp2/Als2/Wasf1/Rasgrp1/Rapgef5/Icmt/F2r/Cdc42se1/Itgb1/Abca1/Rhoc/Dgki/Abl2/Rtn4/Dock3/Rab30/Srgap1/Cyth3/Rasa2/Iqsec1/Notch2/Fgf10/Arhgap32/Rhoj/Reln/Ssx2ip/Rdx/Dock1/Arhgap5/Kctd10/Pdgfrb/Gpr17/Kitl/Sos2/Dock5/Stard8/Garnl3/Rab35/Timp2/Plce1/Kank2/Dlc1/Spry4/Lipa/Prag1/Rasgrp3/Robo1/Dock4/Syde1/Arhgdib/Arhgap31/Wasf2/Cdh13/Ntn1/Rab9b/Rhobtb1/Itpkb/Eps8l2/Rasip1/Eps8l1/Dock8/Pecam1/Ksr2/Heg1/Trim67/Myoc/Cbl/Arfgef3/F11r/Col1a2/Dock2/Cgnl1",188,"Up","Oil - OPFR"
"GO:0007015","actin filament organization",0.0386658168684937,0.0163026548059949,6.81646433358735e-32,2.92062775146439e-29,1.28723547520586e-29,"Trim27/Nebl/Jmy/Ptk2b/Phactr1/Ppp1r9a/Arrb1/Pak3/Coro7/Sptb/Add3/Nf2/Actr2/Enah/Rhoq/Zbed3/Arhgef18/Emp2/Actg1/Stmn1/Pik3ca/Cd2ap/Arf1/Zeb2/Tnfaip1/Tsc1/Rnd1/Limch1/Cdc42ep4/Coro6/Limk1/Pacsin1/Bcar1/Myh9/Wipf3/Sirpa/Arap1/Prkci/Arhgef10l/Prkce/Cdc42ep2/Arhgef10/Dbnl/Plec/Sptan1/Daam2/Hip1r/Add1/Rnd3/Cx3cl1/Arpin/Sorbs1/Tmod2/Kiss1r/Rapgef3/Arhgap35/Arhgap12/Prex1/Vasp/Tgfb3/Wasl/Rnh1/Tpm4/Rhobtb2/Pak1/Diaph1/Washc2/Cul3/Ermn/Rhog/Myadm/Rhou/Coro1c/Cotl1/Ppm1f/Cyfip2/Abl1/Ap1ar/Cdc42ep1/Synpo/Pik3r1/Mical3/Arf6/Slit2/Rflnb/Mical1/Gas7/Ssh2/Sptbn1/Aif1l/Itgb5/Cttn/Mtss1/Tac1/Shroom1/Pak2/Tagln2/Nostrin/Sh3pxd2b/Dpysl3/Msrb2/Pcdh15/Add2/Bcl2/Ppm1e/Wasf1/Pawr/Rhoc/Tpm3/Washc5/Actn4/Trf/Abl2/Myh10/Espn/Elmo3/Mtor/Tjp1/Map3k1/Sorbs3/Arpc1b/Myo1d/Rhoj/Rgs4/Myo5b/Rdx/Cit/Myo6/Wasf3/Myo7a/Samd14/Gsn/Hip1/Asap3/Prkcd/Myo5a/Pakap/Eln/Kirrel1/Id1/Svil/Plekhg2/Prkcq/Tgfbr1/Myo1c/Myo1b/Iqgap1/Spag6l/Swap70/Kank2/Fmn1/Myo1e/Dlc1/Phldb2/Capza1/Actn2/Cobl/Esam/Wasf2/Tenm1/Tpm2/Synpo2/Nckap1l/Fhdc1/Arhgef15/Wnt4/Rhobtb1/Pdlim1/Shroom3/Lima1/Catip/Fhod3/Pecam1/Myoc/Shroom4/Crhr2/Lcp1/F11r/Ccn2/Baiap2l1/Cgnl1/Trpv4",182,"Up","Oil - OPFR"
"GO:1901652","response to peptide",0.036116422349692,0.016060364819494,9.64452194142464e-27,2.38405163528985e-24,1.05074528519732e-24,"Ywhag/Crhr1/Egr2/Gsk3a/Ptpra/Inhbb/Psen1/Atp2b1/Insig1/Cacnb1/Nr4a1/Sco1/Igf1/Klf15/Lpin2/Mapk1/Ceacam1/Leprotl1/Rhoq/Zbed3/Pkm/Pik3ca/Stxbp4/Csk/Irs1/Ednra/Zfp106/Sgcb/Stxbp3/Vim/Tsc1/Cry2/Sesn2/Adipor1/Creb1/Zfp592/Bcar1/Gpld1/Prkaa1/Gnai2/Insr/Mbd5/Eif6/Ache/Pid1/Kbtbd2/Prkci/Grb10/Adcy6/Akt3/Jag1/Gsk3b/Epha4/Nos1/Lpl/Eprs1/Rangap1/Parp1/Soga1/Smpd3/Pten/Ctnnb1/Map2k1/Sorbs1/Sos1/Kat2b/Plcb1/Tcf12/Itga4/Ggh/Eif2b5/Rab13/Ppara/Khk/Igf1r/Ccnd3/Rap1gds1/Ncoa1/Pak1/Esrra/Rab31/Nr4a3/Raf1/Atp2a2/Cacna1b/Timeless/Grb14/Slc27a4/Sort1/Lgmn/Ptprj/Apc/Socs7/Prkaca/Pik3r1/Pip4k2a/Pik3r3/Lrp1/Scap/Lpin1/Opa1/Dennd4c/Leprot/Adcy8/Irs2/Erbin/Slc2a8/Agtrap/Uso1/Pdpk1/Mfn2/Fosl2/Grm5/Tgfbr3/Hadha/Slc9a1/Nr3c2/Cav2/Prkca/Ptpn11/Sorl1/Sik2/Pip4k2c/App/Meak7/Serpina3n/Eif4ebp2/Vamp2/Mtor/Atp1a3/Egr1/Cav1/Jak1/Hdac9/Pld1/Ctsd/Ncoa2/Shc1/Aldob/Prkcd/Slc2a1/Slc24a4/Eif2b3/Myo5a/Vgf/Stat6/Prkcq/Sos2/Myo1c/Vcam1/Stat1/Nod1/Actn2/Pdk4/Zbtb7b/Serpinf1/Ide/Trem2/Ptprf/Rarres2/Enpp1/Zfp36l1/Sesn3/Tns2/Tbc1d4/Crhbp/Chrna7/Crhr2/Trpv4/Igf2",170,"Up","Oil - OPFR"
"GO:0022411","cellular component disassembly",0.0359039728064585,0.0159911391090651,1.67467832784296e-26,3.98635467149877e-24,1.75694322815805e-24,"Smarcd1/Vcp/Gsk3a/Tbc1d25/Rb1cc1/Tecpr1/Exog/Ccsap/Fundc2/Huwe1/Sptb/Ulk2/Sh3gl2/Blcap/Add3/Tom1/Phf23/Trip4/Smarce1/Asph/Vmp1/Vps4a/Pym1/Stmn1/Pik3ca/Atg2b/Becn1/Pafah1b1/Atg4d/Snap29/Ufm1/Map1b/Ssrp1/Kif5b/Tfip11/Atg4b/Prkaa1/Insr/Atg14/Eif5a2/Nckap5l/Stmn3/Gsk3b/Epha4/Lamp2/Eif2d/Per2/Sptan1/Add1/Oga/Cidea/Map2/Camsap1/Tmod2/Chmp2b/Plaat3/Dusp3/Epg5/Ubqln1/Mid1ip1/Vps13d/Pbxip1/Tgfb3/Map1lc3a/Dctn1/Smurf1/Igf1r/Tomm7/Vps4b/Atg13/Atp2a2/Mapre2/Map4/Smarca4/Hif1a/Nav3/Apc/Uvrag/Pik3r1/Plk3/Mical3/Plin3/Napb/Lamc1/Dedd2/Arf6/Map4k4/Taok1/Rnf41/Mical1/Pelo/Arid1a/Ambra1/Ddr1/Gspt1/Sptbn1/Mfn2/Cttn/Gabarapl1/Apc2/Lix1l/Hk2/Sh3pxd2b/Lrba/Clec16a/Dffa/Tgfb2/Snx14/Snx30/Add2/Gbf1/Wnk1/Map1a/Ttbk2/Itgb1/Irgm1/Rubcn/Frat1/Prickle1/Grwd1/Pex14/Kdm4a/Plxnc1/Optn/Iqsec1/Etf1/Noxo1/Synj1/Dnajc6/Vps33a/Htt/C1qb/Rdx/Eef2k/Gsn/Chmp6/Apaf1/Tigar/Pik3r4/Svil/Ston1/C1qa/Tgfbr1/C1ql1/Snx7/Vamp8/Swap70/Jmjd4/Ets1/Capza1/Actn2/Igtp/Cd24a/Trem2/Cx3cr1/Nckap5/Nedd1/Ctss/Nedd9/Lima1/C1qc/Ddr2/Igfbp3/Eng/Itgam/Nes/Lcp1/Ccn2/Trpv4",169,"Up","Oil - OPFR"
"GO:0034765","regulation of monoatomic ion transmembrane transport",0.0359039728064585,0.0169602990550691,2.8662892405344e-23,3.75951856100297e-21,1.65696763614996e-21,"Gopc/Wnk3/Asic2/Dnm2/Ptk2b/Cacna1d/Ank3/Gpd1l/Cacnb1/Cnksr3/Ptpn3/Sco1/Snx27/Kcnc2/Kcnq2/Pik3c2a/Bmp4/Asph/Vmp1/Jph3/Ednra/Arf1/Kcnab2/Fkbp1b/Grk6/Kcnd3/Oprl1/Cd63/Kif5b/Cacnb4/Plp1/Tmem168/Stoml1/Akap9/Ppp3cb/Ahr/Hk1/Prkce/Cacna2d2/Chp1/Wnk2/Kcnb1/Slmap/Cemip/P2rx4/Ano6/Nos1/Camk2d/Homer1/Oga/Nlgn3/Cx3cl1/Pten/Plcb1/Adcyap1r1/Ubqln1/Rapgef3/Kcnb2/Tmbim6/Tcaf1/Kcnq4/Slc6a9/Kcnk4/Kcns2/Kcnh5/Stim1/Diaph1/Kcnj9/Cacna1b/Ubr3/Kcnc3/Pde4b/Kcnc1/Stac2/Abl1/Cbarp/Gsto1/Atp7a/Kcnv1/Cacng2/Ripk1/Ank2/Hecw1/Kcna4/Nipsnap2/Arc/Kcnk3/Grm5/Fgf12/Slc9a1/Nr3c2/Tgfb2/Kcnq5/Rnf207/Prkca/Cacnb2/Scn1a/Nedd4/Atp2b4/Slc8a1/Bcl2/F2r/Wnk1/Nol3/Itgb1/Fxyd6/App/Kcna1/Cacng8/Htr3a/Cacna2d3/Kcna2/Vamp2/Gjc2/Scn4b/Stk39/Hcn1/Mtor/Cacng4/Grip1/Kcnf1/Cav1/Kcnj6/Scn2b/Kcna6/Htt/Atpsckmt/Reln/Rgs4/Cacna1e/Kcnh1/Stom/Myo5a/Scn2a/Clic1/Nalcn/Kcnj2/Pde4d/Akap6/Slc30a1/Hecw2/Klhl24/Nherf2/Clic4/P2ry6/Kcns3/Kcns1/Kcnma1/Kcng1/Actn2/Taco1/Kcnh2/Trem2/Dpp10/Chrna4/Tgfb1/Ahnak/P2rx7/Tmem74/Ctss/Fxyd1/Abcb1a/Abcc9/Edn3/Clic5/Kcnh7/Kcne2/Clic6/Kcnj13",169,"Up","Oil - OPFR"
"GO:0042063","gliogenesis",0.035691523263225,0.0137413035201274,3.42279781215939e-35,3.66638692312473e-32,1.61592086184577e-32,"Sox8/Egr2/Ptpra/Cdh2/Psen1/Nfix/Fa2h/Cers2/Smo/Prpf19/Syne2/B4galt6/Nr2e1/Crkl/Igf1/Klf15/Mapk1/Nf1/Hapln1/Nf2/Adam22/Rnf10/Bmp4/Pafah1b1/Olig1/Zeb2/Vcan/Cdk5r2/Vim/Myd88/Mmp24/Ezh2/Tnfrsf21/Creb1/Plp1/Zcchc24/Ror1/Anxa7/Cntn1/Aspa/Prkci/Sox4/Arhgef10/P2rx4/Epha4/Plec/Daam2/Mecp2/Nr1d1/Nlgn3/Cx3cl1/Gap43/Pten/Ctnnb1/Fkrp/Map2k1/Ercc2/Sos1/Prdm8/Eif2b5/Ncan/Tppp/Gpc1/Mal/Itgb4/Raf1/Smarca4/Abl1/Dab2ip/Ntrk2/Ptprj/Ulk4/Socs7/Opalin/Dusp10/Pax6/Sox9/Sh3tc2/Lrp6/Lrp1/Ndrg1/Hdac11/Sox1/Mboat7/Sox10/Sox13/Mfn2/Lingo1/Sun2/Large1/Dlx2/Tgfb2/Cd9/Lamb2/Ptpn11/Myrf/Abca2/Acan/Trp73/Nrros/App/Grn/Cnp/Trf/Abl2/Rtn4/Kdm4a/E2f1/Hes5/Gjc2/Il34/Slc7a5/Mtor/Tspan2/Nfe2l1/P2ry12/Matn2/Notch2/Fgf10/Synj1/Hapln2/Hapln4/Atf5/Reln/Pdgfb/Srgap2/Wasf3/Erbb3/Etv5/Ldlr/Mag/Zfp488/Tenm4/Eif2b3/Efemp1/Dlx1/Apcdd1/C1qa/Il6st/Naglu/Dag1/Tmem98/Cspg4/Sox6/Dll1/Mios/Nkx6-2/Nkx2-2/Trem2/Enpp1/Tgfb1/Hexb/Cx3cr1/Epm2a/Ntn1/Sox5/Cntnap2/Csf1r/Lamc3/Vtn/Lef1/Itgam/Myoc/Flt1/Ptprb/Fn1/Enpp2/Otx2",168,"Up","Oil - OPFR"
"GO:0016055","Wnt signaling pathway",0.0354790737199915,0.0159219133986363,8.80873516227829e-26,1.82624970606331e-23,8.04900044879147e-24,"Mcc/Rspo3/Rtf1/Cpe/Wnt2b/Vcp/Gsk3a/Cdh2/Psen1/Fgf9/Atp6ap2/Bcl9l/Chd8/Btrc/Cdc73/Hbp1/Klf15/Dapk3/Tmem64/Zbed3/Ednra/Csnk2a2/Tmem198/Cdk14/Ccny/Zeb2/Grk6/Wls/Adgra2/Bcl9/Lypd6/Prkaa1/Ror1/Stk3/Wnk2/Mllt3/Grb10/Daam1/Ddx3x/Tmem9/Ptpru/Wnt2/Mitf/Sox4/Tle4/Gsk3b/Pygo2/Nkd1/Fam53b/Usp8/Lgr4/Daam2/Ccdc88c/Cyld/Fzd8/Pten/Ctnnb1/Usp47/Celsr2/Dixdc1/Fzd7/Pbxip1/Kpna1/Ctnnd1/Pin1/Vps4b/Cul3/Csnk1g3/Axin1/Itga3/Smarca4/Mark1/Fbxw11/Abl1/Dab2ip/Apc/Lzic/Csnk1d/Tmem88b/Trpm4/Sox9/Lrp6/Lrp1/Klhl12/Arl6/Strn/Tcf7l1/Sox10/Rnf146/Dlx5/Sox13/Kremen1/Shisa6/Tgfb1i1/Amer2/Jup/Ctr9/Apc2/Jade1/Tnik/Pygo1/Wnk1/Cxxc4/App/Usp34/Lrrk2/Abl2/Frat1/Prickle1/Dkk3/Tle3/Wnt3/Zbtb33/Otulin/Ext1/Egr1/Cav1/Map3k1/Fgf10/Nxn/Sulf2/Ccnd1/Yap1/Bicc1/Wnt5a/Eda/Ppp2r3a/Zfp703/Ubac2/Amotl1/Ddb1/Apcdd1/Sall1/Tnks/Lzts2/Grem1/Amotl2/Ccne1/Limd1/Grk5/Wnt10a/Rspo2/Foxo3/Enpp1/Tgfb1/Ptk7/Nkd2/Lrp5/Epm2a/Sox17/Rnf213/Wnt4/Rbms3/Dab2/Col1a1/Lef1/Fzd6/Klf4/Myoc/Fzd4/Nid1/Adnp/Sfrp1/Mdfic/Sulf1/Sostdc1/Folr1",167,"Up","Oil - OPFR"
"GO:0198738","cell-cell signaling by wnt",0.0354790737199915,0.0159911391090651,1.53264137304238e-25,2.89714297192453e-23,1.27688480955327e-23,"Mcc/Rspo3/Rtf1/Cpe/Wnt2b/Vcp/Gsk3a/Cdh2/Psen1/Fgf9/Atp6ap2/Bcl9l/Chd8/Btrc/Cdc73/Hbp1/Klf15/Dapk3/Tmem64/Zbed3/Ednra/Csnk2a2/Tmem198/Cdk14/Ccny/Zeb2/Grk6/Wls/Adgra2/Bcl9/Lypd6/Prkaa1/Ror1/Stk3/Wnk2/Mllt3/Grb10/Daam1/Ddx3x/Tmem9/Ptpru/Wnt2/Mitf/Sox4/Tle4/Gsk3b/Pygo2/Nkd1/Fam53b/Usp8/Lgr4/Daam2/Ccdc88c/Cyld/Fzd8/Pten/Ctnnb1/Usp47/Celsr2/Dixdc1/Fzd7/Pbxip1/Kpna1/Ctnnd1/Pin1/Vps4b/Cul3/Csnk1g3/Axin1/Itga3/Smarca4/Mark1/Fbxw11/Abl1/Dab2ip/Apc/Lzic/Csnk1d/Tmem88b/Trpm4/Sox9/Lrp6/Lrp1/Klhl12/Arl6/Strn/Tcf7l1/Sox10/Rnf146/Dlx5/Sox13/Kremen1/Shisa6/Tgfb1i1/Amer2/Jup/Ctr9/Apc2/Jade1/Tnik/Pygo1/Wnk1/Cxxc4/App/Usp34/Lrrk2/Abl2/Frat1/Prickle1/Dkk3/Tle3/Wnt3/Zbtb33/Otulin/Ext1/Egr1/Cav1/Map3k1/Fgf10/Nxn/Sulf2/Ccnd1/Yap1/Bicc1/Wnt5a/Eda/Ppp2r3a/Zfp703/Ubac2/Amotl1/Ddb1/Apcdd1/Sall1/Tnks/Lzts2/Grem1/Amotl2/Ccne1/Limd1/Grk5/Wnt10a/Rspo2/Foxo3/Enpp1/Tgfb1/Ptk7/Nkd2/Lrp5/Epm2a/Sox17/Rnf213/Wnt4/Rbms3/Dab2/Col1a1/Lef1/Fzd6/Klf4/Myoc/Fzd4/Nid1/Adnp/Sfrp1/Mdfic/Sulf1/Sostdc1/Folr1",167,"Up","Oil - OPFR"
