"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0034329","cell junction assembly",0.0414820781312928,0.0166487833581392,2.87864400942184e-40,1.11498154661665e-36,4.87889192840834e-37,"Dnm3/Ogt/Gpm6b/Cdc42/Nlgn2/Vps35/Rac1/Lrrtm1/Ptprs/Numbl/Gpm6a/Slitrk3/Gnpat/Myh9/Ocln/Lzts3/Ntrk2/Ntrk3/Kirrel3/Ctnnd2/Farp1/St8sia2/Nrp1/Fscn1/Wdpcp/Dmtn/Cadm1/Ppp1r9a/Hipk1/Sorbs1/Dbnl/Afdn/Sdcbp/Il1rapl1/Efnb3/Icam5/Crk/Cldn22/Clstn3/Actn4/Hapln4/Adgrl3/Apod/Lrrtm3/Itgav/Gsk3b/Nectin1/Crkl/Ephb1/Lrrtm2/Map4k4/Plxnd1/Capza1/Tesk2/Pmp22/Ctnnb1/Ramp2/Lzts1/Bdnf/Rap1a/Slc39a9/Cdh2/Cdh8/Pak2/Efnb1/Sema4a/Hopx/Pard3/Vcl/Erbb4/Eef2k/Nptxr/Magi2/Myo9a/Nrxn3/Fermt2/Grid2/Ppm1f/Itgb4/Pik3r1/Setd5/Cdh6/Pdpk1/Plxnb2/Lgi2/Lrp4/Dlc1/Hdac7/Myo1c/Slitrk2/Ephb3/Robo1/Pip5k1a/Jam3/Numb/Rock1/Gap43/Ophn1/Slitrk5/Mycbp2/Peak1/Ptprk/Clstn1/Gabrb2/Ctnnd1/Flrt2/Vegfa/Dlg1/Nptx1/Wnt5a/Itgb1/Lamc1/Ptpn13/Clasp1/Lrp1/Eif4g1/Nptn/Cdh11/Smad3/Slk/Zdhhc12/C1ql3/Actn1/Dst/Slitrk4/C1ql2/Rab29/Adgrb3/Rapgef2/Cldn5/Epha3/Arf6/Ptprd/Macf1/Slitrk1/Bcr/Ctnna1/Epb41l3/Cdh20/Actn2/Pdcd6ip/Pclo/Amigo3/Mpdz/Pcdh17/S100a10/Lingo2/Arhgef15/Dock7/Gpc4/Bcl2/Myo6/Fmn1/Gabra1/Vstm5/App/Cdh9/Lama3/Rab13/Wnt7a/Lrrn1/Pcdhb16/Adnp/Flrt1/Efnb2/Gjb2/Tln1/Cdh13/Rhoc/Cd9/Tjp1/Adgre5/Tns1/Cntnap2/Cgn/Lsr/Myoc/Acvrl1/Wnt4/Cdh4/Thsd1/Esam/Ugt8a/Cav1/Fn1/F11r/Cdh18/Kdr/Iqgap1/Efna5/Cdh22/Pecam1/Cbln1/Sdk2/Tek/Ntn1/Ston1/Phldb2/Adgrl2/Grem1/Cdh5/Enpp2/Ace/Trpv4/Cldn1/Cldn2",206,"Up","Oil - OPFR"
"GO:0001667","ameboidal-type cell migration",0.0408779701973419,0.0163026548059949,3.45891591939397e-40,1.11498154661665e-36,4.87889192840834e-37,"Cdc42/Appl1/Rac1/Smad4/Ptpn23/Atp5f1a/Angpt1/Zfand5/Hdac9/Spag6l/Pik3c2a/Myh9/Spred1/Nrp2/Sparc/Arhgap4/Ythdf3/Nrp1/Lgmn/Nus1/Wdpcp/Dmtn/Lrp6/Fndc3b/Mapre2/Gab2/Smoc2/Lemd3/Actn4/Itgav/Dnaja4/Plcg1/Hbegf/Mcc/Foxp1/C1qbp/Nanos1/Anxa6/Map4k4/Plxnd1/Hmgb1/Pdcd10/Lefty1/Pmp22/Tgfbr3/Epb41l4b/Nfe2l2/Prox1/Nf1/Lgals8/Bmpr2/Grn/Cdh2/Sox10/Gpld1/Fut8/Efnb1/Radil/Sema4a/Braf/Prr5l/Calr/Apc/Erbb4/Plk2/Map3k3/Sema6d/Acvr1c/Stc1/Ppm1f/Dab2ip/Appl2/Itgb4/Anln/Pdpk1/Hdac7/Rab11a/Arsb/Cd63/Robo1/Pak3/Pip5k1a/Rock1/Fstl1/Atoh8/Efna1/Krit1/P2rx4/Vegfa/Slc8a1/Nr4a1/Wnt5a/Dusp10/Itgb1/Gna13/Sgpl1/Clasp1/Zeb2/Rtn4/Mtor/Plekhg5/Adam17/Bsg/Prcp/Adgra2/Sash1/Sema3d/Card10/2610005L07Rik/Hif1a/Sema3e/Arf6/Macf1/Ptprr/Amotl2/Sox9/Tac1/Amot/Emp2/Rreb1/Smo/Plpp3/Nr2e1/Rgcc/Acvr1/Pax6/Irs2/Tgfbr1/Tgfb2/Serpinf1/Lama5/Ago2/Dock1/Syde1/Rab13/Jun/Jcad/Wnt7a/Fbn2/Ptprm/Nr2f2/Amotl1/Gata2/Arid5b/Ednrb/Itga4/Adam8/Efnb2/P2ry12/Arhgap5/Fgf10/Cdh13/Sema6a/Akap12/Wasf2/Tns1/Dock5/Pdlim1/Prkd2/Acvrl1/Nos3/Egr3/Atp2b4/Ceacam1/Lrp5/Fn1/Ednra/Tgfb1/Kank2/Kitl/Kdr/Iqgap1/Cxcl12/Sox17/Ets1/Arhgdib/Ephb4/Pecam1/Kit/Tgfbr2/Ctsh/Klf4/Hspb1/Edn3/Robo4/Ddr2/Anxa3/Bmp7/Cyp1b1/Tek/Col18a1/Sema3b/Itgb2/Grem1/Ccn3/Cdh5/Igf2/Dcn/Enpp2/Sp100/Acta2/Aqp1/Folr1",203,"Up","Oil - OPFR"
"GO:0050767","regulation of neurogenesis",0.040676600886025,0.0170987504759268,5.09036567942136e-36,4.68822679074707e-33,2.05145564223297e-33,"Nap1l1/Picalm/Hapln1/Marcks/Rheb/Golga4/Twf2/Arhgef2/Ptprs/Sgk1/Map1b/Ctdsp1/Syngap1/Skil/Numbl/Fmr1/Mdk/Snw1/Sh3glb1/Ntrk2/Ntrk3/Syt4/Arhgap4/Nrp1/Dixdc1/Xrcc2/Map2/Tiam2/Ist1/Aspa/Vcan/Rb1/Pias2/Atxn1/Dbnl/Afdn/Psen1/Il1rapl1/Efnb3/Egfr/Ptprf/Baiap2/Cit/Plxnc1/Kalrn/Hapln4/Gsk3b/Prpf19/Eif4g2/Plxnd1/Pcm1/Gjc2/Ctnnb1/Ncan/Prox1/Dnajb11/Nf1/Shtn1/Sorl1/Bmpr2/Bdnf/Nkx6-2/Spen/Hook3/Plxnb3/Mag/Sox10/Cask/Slit1/Rnf6/Kifap3/Sema4a/Map2k1/Braf/Spart/Opa1/Eef2k/Fxr1/Sema6d/Jade2/Cyfip1/Bmpr1a/Xrcc6/Nkx2-2/Appl2/Actr2/Dhx36/Prkci/Plxnb2/Lrp4/Trpc6/Trf/Dscam/Robo1/Caprin1/Pak3/Xrcc5/Gli3/Numb/Zfp488/Il6st/Ascl1/Foxg1/Cul7/Itpka/Vegfa/Epha4/Kdm4a/Dag1/Arhgap32/Wnt5a/Dusp10/Itgb1/Nr1d1/Wls/Notch2/Zeb2/Caprin2/Lrp1/Nptn/Rtn4/Fstl4/Myrf/Mtor/Bex1/Lig4/Sema3d/Map3k13/Synj1/Tnr/Ldlr/Fezf2/Rapgef2/D130043K22Rik/Hif1a/Hey2/Sema3e/Ptprd/Macf1/Slitrk1/Ctnna1/Ptn/Ep300/Ptprz1/Robo2/Vim/Grm5/Smo/Plxna2/Bhlhe41/Nr2e1/S100a10/Olig2/Pax6/Cdon/Myo5b/Id1/Dock7/Man2a1/L1cam/Etv5/Grip1/Serpinf1/Wnt7a/Slc7a5/Cdkl5/Prtg/Gata2/Lyn/Adnp/Sema6a/Il33/Yap1/Tenm4/Atf5/Cdh4/Dll1/B2m/Per2/Cx3cr1/Fzd4/Trem2/Mme/Lef1/Fn1/Bhlhe40/Tgfb1/Tgm2/Csf1r/Kdr/Cxcl12/Efna5/Kit/Egr2/Anxa2/Bmp7/Ntn1/Sema3b/Flt1/Ccr5/Enpp2/Ace",202,"Up","Oil - OPFR"
"GO:0031346","positive regulation of cell projection organization",0.0396697543294402,0.0160257519642795,4.61349838686477e-38,9.91440803337239e-35,4.3383072550167e-35,"Dnm3/Enc1/Picalm/Cdc42/Marcks/Golga4/Rac1/Cep120/Nckipsd/Twf2/Dvl3/Sgk1/Map1b/Skil/Rit2/Numbl/Wasl/Fmr1/Gpm6a/Mdk/Dcc/Igf1r/Pqbp1/Sh3glb1/Mien1/Ntrk2/Kidins220/Ntrk3/Htt/Setx/Nrp1/Fscn1/Dixdc1/Ptbp1/Fez1/Lrp6/Tiam2/Cep135/Ppp1r9a/Ist1/Pias2/Washc5/Tmem30a/Dbnl/Afdn/Il1rapl1/Cdc42ep1/Ptprf/Baiap2/Rgs2/Scarb2/Plxnc1/Kalrn/Fkbp1b/Ripor2/Ap2a1/Gsk3b/Cntn1/Eif4g2/Snx3/Plxnd1/Tmem106b/Itpr1/Nfe2l2/Nf1/Shtn1/Plppr5/Bmpr2/Bdnf/Grn/Rap1a/Plxnb3/Dpysl3/Auts2/Espn/Cbfa2t2/Septin9/Cask/Map2k1/Braf/Apc/Hnrnpk/Shoc2/Opa1/Eef2k/Magi2/Cyfip1/Ift88/Dab2ip/P3h1/Actr2/Dhx36/Htr7/Pik3r1/Prkci/Anln/Plxnb2/Rrn3/Arap1/Fut9/Arsb/Rab8b/Atp8a2/Fuz/Ccp110/Zfp804a/Dscam/Fbxo38/Robo1/Cdc42ep4/Caprin1/Pak3/Cpeb1/Ttbk2/Numb/Gprc5b/Cul7/Itpka/Vegfa/Epha4/Rhoq/Stk24/Arhgap32/Wnt5a/Itgb1/Wls/Carmil1/Tgfb3/Zeb2/Caprin2/Lrp1/Kat2b/Nptn/Mtor/Lrrc7/Adam17/Eps8/Creb3l2/Akirin1/Atp7a/Elavl4/Map3k13/Ccdc88a/Rapgef2/Epha3/Ptprd/Macf1/Itga6/Slitrk1/Plce1/Ptn/Ep300/Ptprz1/Robo2/Rreb1/Plxna2/Myo5b/Tgfbr1/Tenm1/Hspa5/L1cam/Serpini1/Dmd/Grip1/Serpinf1/Adamts1/Prkcq/Fnbp1l/Cdkl5/Trim67/Lyn/Adnp/Ptk7/P2ry12/Tox/Wasf2/Scarf1/P2rx7/Cdh4/Eps8l2/Fzd4/Nedd9/Fn1/Ror1/Efemp1/Iqgap1/Cxcl12/Efna5/Kit/Hspb1/Ddr2/Bmp7/Ntn1/Cobl/Enpp2/Eps8l1/Aqp1",197,"Up","Oil - OPFR"
"GO:0007015","actin filament organization",0.0376560612162706,0.0163026548059949,1.88994402066528e-31,1.10767900920264e-28,4.84693777548608e-29,"Marcksl1/Cdc42/Marcks/Rac1/Twf2/Arhgef2/Tnfaip1/Gas7/Wasl/Spag6l/Pik3ca/Add1/Mtpn/Myh9/Flii/Nrp1/Fscn1/Dmtn/Ppp1r9a/Carmil3/Sorbs1/Myh10/Rhot1/Washc5/Dbnl/Snx9/Arf1/Plekhh2/Cdc42ep1/Msrb2/Washc2/Zbed3/Baiap2/Cap2/Ttn/Cit/Mical2/Actn4/Ppargc1b/Lats1/Rhobtb2/Pls1/Synpo/Gsn/Fchsd2/Cyfip2/Tmsb10/Sh3kbp1/Diaph1/Capza1/Arhgef18/Prox1/Tmeff2/Gdpd2/Shtn1/Synpo2/Rasa1/Sirpa/Ttc8/Dpysl3/Prex1/Espn/Pak2/Rgs4/Braf/Diaph2/Washc4/Myo5a/Sptbn1/Pdlim4/Tmod1/Map3k1/Fermt2/Cyfip1/Aif1l/Crhr2/Vasp/Ppm1f/Ap1ar/Actr2/Sorbs3/Pik3r1/Prkci/Arap1/Dlc1/Pls3/Myo1c/Asap3/Wasf3/Trf/Coro7/Cd2ap/Rflnb/Cdc42ep4/Pak3/Mical3/Cnn3/Tpm4/Myadm/Fhod3/Cul3/Dlg1/Rhoq/Fmn2/Sh3pxd2b/Pstpip2/Carmil1/Tgfb3/Clasp1/Tmod3/Zeb2/Mtor/Arhgap17/Ttc17/Shroom2/Eps8/Rictor/Tpm3/Smad3/Cd47/Actn1/Add3/Hsp90b1/Naa80/Ccdc88a/Arf6/Elmo3/Itgb5/Actn2/Mical1/Tac1/Emp2/Arhgap12/Rgcc/Fat1/Fhdc1/Lima1/Iqgap2/S100a10/Myo5b/Id1/Arhgef15/Tgfbr1/Bcl2/Rdx/Tagln2/Shroom3/Myo6/Tenm1/Catip/Fmn1/Plekhg2/Ermn/Fhod1/Myo1e/Prkcq/Nostrin/Myo1d/S1pr1/Eln/Swap70/Rhoc/Wasf2/Tjp1/Wasf1/Pdlim1/Myoc/Nckap1l/Wnt4/Rhobtb1/Pcdh15/Pawr/Esam/Coro6/Kank2/F11r/Iqgap1/Lcp1/Pecam1/Tpm2/Ccn2/Phldb2/Cobl/Shroom4/Baiap2l1/Cgnl1/Trpv4",187,"Up","Oil - OPFR"
"GO:0007264","small GTPase mediated signal transduction",0.0368505839710028,0.0148143020317746,8.96965080196675e-36,7.22841734003495e-33,3.16298212490406e-33,"Ogt/Rab9/Cdc42/Kbtbd7/Rhebl1/Rheb/Rac1/Gdi2/Arhgef2/Rab12/Tnfaip1/Syngap1/Rit2/Rasa3/Stk19/Rab33b/Rgl2/Nrp1/Arl3/Arhgef12/Tiam2/Ywhaq/Mapre2/Arhgap1/Rhot1/Mcf2l/Rasgrp1/Dbnl/Sdcbp/Nucb2/Myo9b/Rabl3/Arhgap42/Cdc42ep1/Dnaja3/Crk/Baiap2/Cadm4/Rap1b/Ripor2/Itgav/Mras/Rassf1/Arfgef2/Rasa2/Rhobtb2/G3bp2/Nras/Rapgef6/Map4k4/Ralb/Ripor1/Dok3/Kctd10/Arhgef18/Nf1/Shtn1/Sipa1l3/Rap1a/Cdh2/Auts2/Bnip2/Arhgef3/Map2k1/Chm/Dock9/Spry2/Ralgapa1/Dhcr24/Shoc2/Dennd4c/Gm266/Plk2/Cyfip1/Dab2ip/Arhgap24/Chuk/Ksr2/Sipa1l2/Camk2d/Dlc1/Sos1/Rasal1/Usp8/Plaat1/Rasgrf1/Rap2c/Ctnnal1/Chml/Cd2ap/Robo1/Cdc42ep4/Rasgrp2/Rsu1/Uso1/Rock1/Abca1/Ophn1/Arhgef11/Rab30/Cul3/Rab9b/Rhoq/Nup62/Rapgef4/Arhgap32/Itgb1/Sipa1/Bcl6/Gna13/Notch2/Ralgapa2/Rtn4/Ssx2ip/Plekhg5/Arhgap17/Eps8/Dock3/Ccdc88c/Nucb1/Dennd4a/Ccdc88a/Rapgef2/Dgki/Arf6/Bcr/Plce1/Garnl3/Itpkb/Adcyap1r1/Amot/Celsr1/Arhgap12/Arl6/Cyth3/Cdon/Dock10/Gpr17/Dock7/Tgfb2/Rdx/Timp2/Akap13/Pdpn/Cbl/Dock1/Syde1/Spry4/Dock4/Lipa/Trim67/Arhgap31/Arhgap5/Fgf10/Cdh13/Rhoc/Wasf2/Sos2/Arfgef3/Srgap1/Pdgfrb/Wasf1/Dock5/Heg1/Myoc/Rhobtb1/Eps8l2/Prag1/Rasip1/Ednra/Kank2/Kitl/F11r/Dock6/Rasgrp3/Arhgdib/Pecam1/Dock8/Ntn1/Dock2/Col1a2/Eps8l1/Cgnl1",183,"Up","Oil - OPFR"
"GO:0034248","regulation of amide metabolic process",0.036246476037052,0.0166833962133536,1.49546026399966e-26,4.38237832818445e-24,1.91762368780817e-24,"Enc1/Ogt/Serp1/Tmed2/Picalm/Casp3/Pdk3/Jmjd4/Sh3bgrl/Rc3h2/Celf1/Dcps/Hnrnpr/Usp16/Mknk1/Fmr1/Eefsec/Cnot2/Ddx3x/Tent2/Ctif/Cnot3/Ntrk2/Serbp1/Cnot6/Tut4/Hnrnpu/Rtn3/Ddx6/Ifngr1/Eif2ak1/Rplp1/Mvk/Ythdf3/Zfp36/Exosc5/Paip1/Ptbp1/Aplp1/Eif4ebp2/Paip2/Elavl1/Rtn1/Lsm14b/Poldip3/Gspt1/Msi2/Ormdl3/Eif4e2/Magoh/Eif2s1/Nhlrc1/Exosc9/Impact/Samd4/Aco1/Mettl3/Lrpprc/Ifrd2/Rgs2/Trub2/Tsfm/Lrrtm3/Ppp1r15a/Eif4g2/Cpeb3/Ybx2/Pus7/C1qbp/Nanos1/Tnrc6c/Map3k20/Larp4/Parn/Dnajc1/Slc2a13/Shmt2/Etf1/Tent4a/Tmed10/Eif2ak4/Unk/Nfe2l2/Secisbp2l/Sorl1/Exosc7/Nolc1/Upf3b/Khdrbs1/Pabpc1/Cpeb2/Prnp/Ssb/Ppp1r15b/Eif4enif1/Secisbp2/Rbms3/Calr/Pan2/Tigar/Apc/Syncrip/Sesn2/Eef2k/Eif5a2/Fxr1/Zfp385a/Igfbp5/Cyfip1/Zcchc4/Gemin5/Tob1/Wfs1/Eif2ak3/Rxra/Dhx36/Plxnb2/Cnot6l/Csnk1e/Bzw1/Dnajc3/Pum1/Samd8/Pde12/Rc3h1/Tcof1/Caprin1/Eprs1/Cpeb1/Eif4g3/Rock1/Efna1/Tent4b/Noct/Epha4/Mov10/Ago3/Prkdc/Otud6b/Mapk1/Caprin2/Dhx9/Pnpt1/Eif4g1/Gsap/Rtn4/Ilf3/Mtor/Mlh1/Lsm1/Tpr/Elavl4/Tnrc6b/Pdk4/Pelo/Ep300/Mettl16/Eif4e3/Cpeb4/Spon1/Taco1/Vim/Grm5/Akap6/Per1/Rbm3/App/Ago2/Alkbh1/Rpusd4/Zfp36l1/Dap/Limd1/Per2/Chrna7/Eif2ak2/Aldob/Slc7a11/Cyp1b1/Ccn1",180,"Up","Oil - OPFR"
"GO:0198738","cell-cell signaling by wnt",0.0352396294804672,0.0159911391090651,1.1221270799169e-26,3.61717664211212e-24,1.58278977588278e-24,"Axin2/Vps35/Rac1/Chd8/Dvl3/Ptpn23/Ube2b/Reck/Mbd2/Csnk1a1/Cyld/Smarca4/Tnks/Paf1/Mdk/Ddx3x/Invs/Celsr2/Prdm15/Ttc21b/Ctr9/Kremen1/Ctnnd2/Dixdc1/Nle1/Wnt10a/Fam53b/Ubr5/Lrp6/G3bp1/Kpna1/Axin1/Tmem237/Frmd8/Psen1/Egfr/Dcdc2a/Tnfaip3/Mllt3/Nkd1/Zbed3/Nfkb1/Tnks2/Vgll4/Shisa6/Tle3/Btrc/Gsk3b/Mcc/Lats1/Frat2/Scyl2/Snx3/Klhl12/Grb10/Sulf2/Lzic/Stk3/Ctnnb1/Tle4/Skic8/Pkd1/Csnk1d/Csnk1g3/Cdh2/Ruvbl1/Ddb1/Sox10/Rbms3/Ankrd6/Tle2/Apc/Rab5a/Atp6ap2/Ext1/Map3k1/Fermt2/Ruvbl2/Dab2ip/Ptpru/Pkd2/Lrp4/Csnk1e/Nphp3/Apcdd1/Usp8/Fuz/Cxxc4/Eda/Pbxip1/Tcf7l1/Fbxw11/Gli3/Dkk3/Cul3/Rspo3/Dvl2/Ctnnd1/Gprc5b/Csnk2a2/Wnt5a/Wls/Wnk1/Wwtr1/Zbtb33/Bcl9/Zeb2/Caprin2/Lrp1/Ppp2r3a/Smad3/Ccne1/Ccdc88c/Adgra2/Frat1/Cdc73/Tmem88b/Med12/Wnt2b/Dact1/Lypd6/Macf1/Amotl2/Sox9/Nkd2/Celsr1/Sall1/Arl6/Plpp3/Prickle1/Jade1/Lmbr1l/Usp34/Gpc4/App/Wnt7a/Grk5/Bicc1/Amotl1/Sox13/Ednrb/Adnp/Ptk7/Ndp/Fgfr2/Fgf10/Enpp1/Yap1/Lgr4/Ccnd1/Myoc/Wnt4/Limd1/Fzd4/Lrrk2/Lef1/Lrp5/Cav1/Ednra/Tgfb1/Ror1/Sox17/Egr1/Klf4/Col1a1/Dab2/Sfrp1/Rnf213/Fzd6/Grem1/Sulf1/Nid1/Mdfic/Sostdc1/Folr1",175,"Up","Oil - OPFR"
"GO:1901652","response to peptide",0.0352396294804672,0.016060364819494,2.00929119965447e-26,5.39745848507181e-24,2.36179842766402e-24,"Ogt/Sco1/Mc4r/Appl1/Marcks/Rac1/Cry1/Stat3/Cacnb1/Arhgef2/Sgk1/Nagk/Hdac9/Pik3ca/Hsf1/Igf1r/Srebf1/Sort1/Rab10/Lgmn/Eif4ebp2/Cacybp/Adcy6/Cacna2d1/Smarcc1/Sorbs1/Raf1/Ncoa1/Kat7/Rb1/Nucb2/Plcb1/Psen1/Leprot/Ptprf/Tnfaip3/Crk/Zbed3/Ncoa5/Nfkb1/Rarres2/Cad/Grb14/Gsk3b/Osbpl8/Tbc1d4/Grb10/Tgfbr3/Ctnnb1/Nfe2l2/Sorl1/Cpeb2/Nr4a3/Slc9a1/Prnp/Eif2b3/Leprotl1/Gpld1/Map2k1/Braf/Myo5a/Apc/Hnrnpk/Sesn2/Shc1/Gpam/Epm2aip1/Opa1/Mbd5/Dennd4c/Jak2/Cyfip1/Acvr1c/Ptpre/Nr3c2/Crhr2/Meak7/Appl2/Chuk/Pik3r1/Xbp1/Prkci/Pdpk1/Jag1/Atp1a3/Srsf5/Ggh/Ankrd26/Sos1/Myo1c/Esrra/Abcc1/Hadha/Ppara/Ctsd/Snx6/Eprs1/Stxbp4/Jak1/Cpeb1/Phip/Gnai2/Pld2/Uso1/Rock1/Creb1/Kbtbd2/Epha4/Nr4a1/Rhoq/Prkdc/Scnn1a/Mapk1/Stxbp3/Lrp1/Kat2b/Vps13c/Atp2b1/Mtor/Pid1/Ccnd3/Atp2a2/Stat2/Lpin1/Tns2/C1qtnf12/Pdk4/Gatm/Insig2/Slc2a1/Cacna1b/Vgf/Actn2/Sik2/Agtrap/Vim/Tcf12/Grm5/Car2/Nod1/Erbin/Irs2/Irf1/App/Serpinf1/Ncoa2/Prkcq/Rab13/Khk/Nr4a2/Zfp36l1/Ednrb/Itga4/Adcy8/Cav2/Enpp1/Sos2/Stat1/Sesn3/Crhr1/Trem2/Ceacam1/Chrna7/Cav1/Ednra/Stat6/Egr1/Aldob/Vcam1/Inhbb/Crhbp/Egr2/Ide/Igf2/Trpv4",175,"Up","Oil - OPFR"
"GO:0016055","Wnt signaling pathway",0.0350382601691502,0.0159219133986363,1.89034336303511e-26,5.29871463542927e-24,2.31859048646869e-24,"Axin2/Vps35/Rac1/Chd8/Dvl3/Ube2b/Reck/Mbd2/Csnk1a1/Cyld/Smarca4/Tnks/Paf1/Mdk/Ddx3x/Invs/Celsr2/Prdm15/Ttc21b/Ctr9/Kremen1/Ctnnd2/Dixdc1/Nle1/Wnt10a/Fam53b/Ubr5/Lrp6/G3bp1/Kpna1/Axin1/Tmem237/Frmd8/Psen1/Egfr/Dcdc2a/Tnfaip3/Mllt3/Nkd1/Zbed3/Nfkb1/Tnks2/Vgll4/Shisa6/Tle3/Btrc/Gsk3b/Mcc/Lats1/Frat2/Scyl2/Snx3/Klhl12/Grb10/Sulf2/Lzic/Stk3/Ctnnb1/Tle4/Skic8/Pkd1/Csnk1d/Csnk1g3/Cdh2/Ruvbl1/Ddb1/Sox10/Rbms3/Ankrd6/Tle2/Apc/Rab5a/Atp6ap2/Ext1/Map3k1/Fermt2/Ruvbl2/Dab2ip/Ptpru/Pkd2/Lrp4/Csnk1e/Nphp3/Apcdd1/Usp8/Fuz/Cxxc4/Eda/Pbxip1/Tcf7l1/Fbxw11/Gli3/Dkk3/Cul3/Rspo3/Dvl2/Ctnnd1/Gprc5b/Csnk2a2/Wnt5a/Wls/Wnk1/Wwtr1/Zbtb33/Bcl9/Zeb2/Caprin2/Lrp1/Ppp2r3a/Smad3/Ccne1/Ccdc88c/Adgra2/Frat1/Cdc73/Tmem88b/Med12/Wnt2b/Dact1/Lypd6/Macf1/Amotl2/Sox9/Nkd2/Celsr1/Sall1/Arl6/Plpp3/Prickle1/Jade1/Lmbr1l/Usp34/Gpc4/App/Wnt7a/Grk5/Bicc1/Amotl1/Sox13/Ednrb/Adnp/Ptk7/Ndp/Fgfr2/Fgf10/Enpp1/Yap1/Lgr4/Ccnd1/Myoc/Wnt4/Limd1/Fzd4/Lrrk2/Lef1/Lrp5/Cav1/Ednra/Tgfb1/Ror1/Sox17/Egr1/Klf4/Col1a1/Dab2/Sfrp1/Rnf213/Fzd6/Grem1/Sulf1/Nid1/Mdfic/Sostdc1/Folr1",174,"Up","Oil - OPFR"
"GO:0006397","mRNA processing",0.0342327829238824,0.0171679761863556,1.47683199035641e-20,1.4680392019046e-18,6.4237875815015e-19,"Sf1/Cdc5l/Tut1/Cpsf3/Rsrp1/Chd8/Snrpd1/Wdr33/Cpsf6/Bcas2/Sf3b6/Cpsf7/Celf1/Dcps/Slu7/Prpf3/Cdk13/Sart3/Fmr1/Rbm10/Paf1/Ctnnbl1/Srrm4/Hsf1/Tent2/Snw1/Pqbp1/Rnmt/Sf3a3/Hnrnpu/Ptbp2/Zbtb7a/Luc7l2/Snrpe/Setx/Ptbp1/Aplp1/Prpf4b/U2af2/Prdx6/Smu1/Yju2/Rbm41/Prpf38b/Nudt21/Scaf11/Alyref/Tra2a/Magoh/Srrm2/Son/Rbm38/Snrnp40/Plcb1/Zcchc8/Rbbp6/Rbm39/Mettl3/Scaf8/Papolg/Lsm2/Trub2/Phrf1/Adarb2/Safb/Prpf19/Hnrnpa1/Ddx5/Polr2d/Lsm10/Sf3b4/Pus7/C1qbp/Khdc4/Snrnp200/Cpsf2/Tent4a/Rnf113a1/Smndc1/Tra2b/Slbp/Khdrbs1/Pabpc1/Rbm19/Hnrnpa2b1/Rbfox3/Virma/Wdr77/Bud13/Pan2/Hnrnpf/Prmt9/Syncrip/Hnrnpk/Srpk2/Srsf1/Ythdc1/Snrpc/Fxr1/Srrm1/Gemin5/Hnrnpm/Pnn/Lsm3/Srpk3/Prpf8/Dhx36/Ppil3/Txnl4b/Pcf11/Cnot6l/Zfp326/Srsf5/Rprd2/Snrpb/Psip1/Pde12/Srek1/Ptbp3/Zranb2/Adar/Hnrnph1/Srek1ip1/Cpeb1/Gemin4/Rbm11/Zc3h13/Tent4b/Sf3a1/Mtrex/Ik/Tsen15/Snrnp48/Prpf38a/Tdrd3/Cstf2/Mfap1b/Snrpd3/Dhx38/Dhx9/Pnpt1/Ddx47/Mbnl1/Pcbp1/Lsm1/Dhx15/Elavl4/Cdc73/Sfpq/Nol3/Aqr/Srsf10/Rnasel/Rbm27/Snrnp35/Mfap1a/Khdrbs2/Rbmx2/Larp7/Brdt/Rbm14/Rbm3/App/Thoc2/Wbp11/Rpusd4/Zfp36l1/Aff2/Alyref2/Rbm47",170,"Up","Oil - OPFR"
